,cv_rmse_mean,cv_rmsloge_mean,rmse,rmsloge
Moving Average,0.5617820284708822,0.05471147103489592,0.32305920425052803,0.026840902065889544
fbprophet,0.36471317748245685,,0.5737011447405002,0.04641876087501963
Mov_Avg+Linear Regression,0.2923238648976203,0.027208356374431922,0.20911458354782564,0.0174835179459242
Mov_Avg+Lasso,0.31444331092868694,0.029685506172999986,0.20812111521728477,0.017392478235886705
Mov_Avg+Ridge,0.3260135838894967,0.030976316579231916,0.2090387816058957,0.017468730006212987
Mov_Avg+ElasticNet,0.3645111519213976,0.035670365450674556,0.1962103612901332,0.016456531690803453
ARIMA,0.32670162859826984,0.03083668305626222,0.3049664198267251,0.025039997481575704
